subject,grade,topic,bloom,question_id,stem,cbc_code,alignment_rating,clarity,grammar,cognitive_level,ambiguity
Mathematics,5,Fractions,Remember,q3,How many equal parts does a cake make if 3/4 of it is eaten?,M5.6.1,3,4,5,3,4
Mathematics,5,Fractions,Remember,q4,Which fraction is smaller: 1/3 or 1/2?,M5.6.1,3,4,4,5,3
Mathematics,5,Fractions,Remember,q5,Which fraction represents two-thirds of a watermelon?,M5.6.1,3,4,4,4,4
Science,5,Diseases,Apply,q1,Which disease is spread through mosquito bites?,S5.2.3,3,4,3,5,4
Science,5,Diseases,Apply,q2,Which fruit can cause cholera?,S5.2.3,2,4,4,5,4
Science,5,Diseases,Apply,q3,Which disease makes you cough a lot?,S5.2.3,3,5,5,5,4
Science,5,Diseases,Apply,q4,How many drops of medicine should be given to a child weighing 20kg?,S5.2.3,3,4,4,5,4
Science,5,Diseases,Apply,q5,What is the name of the disease that causes fever and spots?,S5.2.3,3,4,4,4,3
Science,5,Properties Of Matter,Remember,q1,Which material is used to make a kanga?,S5.5.1,3,4,3,4,4
Science,5,Properties Of Matter,Remember,q2,What type of matter is a glass of water?,S5.5.1,3,4,4,4,4
Science,5,Properties Of Matter,Remember,q3,Which material can you use to start a fire?,S5.5.1,3,4,4,4,4
Science,5,Properties Of Matter,Remember,q4,Which material is used to make a mud house?,S5.5.1,3,4,4,4,4
Science,5,Properties Of Matter,Remember,q5,What is the state of water when it's boiling?,S5.5.1,3,3,4,4,5
Mathematics,6,Fractions,Remember,q1,Which fraction represents half of a pizza?,M6.4.1,3,4,4,4,4
Mathematics,6,Fractions,Remember,q2,How many equal parts does a quarter represent in a whole?,M6.4.1,2,4,4,4,5
Mathematics,6,Fractions,Remember,q3,Which fraction is equivalent to 3/4?,M6.4.1,3,4,4,4,4
Mathematics,6,Fractions,Remember,q4,Which fraction represents three-fifths?,M6.4.1,3,4,4,4,4
Mathematics,6,Fractions,Remember,q5,Which fraction represents two-thirds of a liter?,M6.4.1,3,4,4,5,4
English,6,Work Ethics,Apply,q1,Which action shows good work ethic when helping a classmate?,E6.6.3,3,3,4,4,4
English,6,Work Ethics,Apply,q2,What should you do if you find a classmate struggling with an assignment?,E6.6.3,3,4,4,4,4
English,6,Work Ethics,Apply,q3,Why is it important to take responsibility for your actions at school?,E6.6.3,3,4,5,3,4
English,6,Work Ethics,Apply,q4,Which behavior demonstrates poor work ethic during group projects?,E6.6.3,3,4,4,5,4
English,6,Work Ethics,Apply,q5,How can you contribute to a clean classroom environment?,E6.6.3,3,4,4,5,4
Science,6,Reproduction,Remember,q1,Which part of a flower produces seeds?,S6.4.1,3,4,5,4,4
Science,6,Reproduction,Remember,q2,What is the function of an egg during animal reproduction?,S6.4.1,3,4,4,4,4
Science,6,Reproduction,Remember,q3,Which part of a plant produces seeds?,S6.4.1,3,4,3,4,4
Science,6,Reproduction,Remember,q4,Which organ in the human body produces sperm?,S6.4.1,3,4,3,3,4
Science,6,Reproduction,Remember,q5,Which part of a chicken lays an egg?,S6.4.1,3,4,4,3,3
Science,6,Reproduction,Apply,q1,Which part of a flower produces seeds?,S6.4.3,3,4,4,5,5
Science,6,Reproduction,Apply,q2,How many stages are there in the human life cycle?,S6.4.3,3,4,3,4,4
Science,6,Reproduction,Apply,q3,What is the function of pollen grains in plant reproduction?,S6.4.3,3,4,4,5,4
Science,6,Reproduction,Apply,q4,Which part of an insect undergoes metamorphosis during its life cycle?,S6.4.3,3,3,4,4,4
Science,6,Reproduction,Apply,q5,Which organ in the female reproductive system releases an egg?,S6.4.3,3,4,4,4,4
Science,6,Forces,Remember,q1,Which force acts on an object when it is pushed or pulled?,S6.9.1,3,4,4,4,4
Science,6,Forces,Remember,q2,What force moves a car forward when the driver presses the accelerator?,S6.9.1,3,4,4,4,4
Science,6,Forces,Remember,q3,Which force keeps a balloon in the air?,S6.9.1,3,3,5,3,4
Science,6,Forces,Remember,q4,What force pulls books towards the floor when they are dropped?,S6.9.1,2,5,4,4,4
Science,6,Forces,Remember,q5,Which force opposes motion and causes wear and tear on surfaces?,S6.9.1,3,4,3,4,5
Science,6,Forces,Apply,q1,Which force acts on an object when you push it horizontally?,S6.9.3,3,4,4,3,4
Science,6,Forces,Apply,q2,What force pulls a ball towards the ground when dropped?,S6.9.3,3,4,5,5,5
Science,6,Forces,Apply,q3,Which force moves a car forward when the driver presses the accelerator?,S6.9.3,3,3,4,5,4
Science,6,Forces,Apply,q4,Which force opposes motion and makes it harder to move an object?,S6.9.3,3,4,5,5,4
Science,6,Forces,Apply,q5,Which force keeps a ball rolling after being pushed?,S6.9.3,3,5,4,4,3
