subject,grade,topic,bloom,question_id,stem,cbc_code,alignment_rating,clarity,grammar,cognitive_level,ambiguity
English,6,Work Ethics,Apply,q5,How can you contribute to a clean classroom environment?,,,,,,
Science,6,Reproduction,Remember,q1,Which part of a flower produces seeds?,,,,,,
Science,6,Reproduction,Remember,q2,What is the function of an egg during animal reproduction?,,,,,,
Science,6,Reproduction,Remember,q3,Which part of a plant produces seeds?,,,,,,
Science,6,Reproduction,Remember,q4,Which organ in the human body produces sperm?,,,,,,
Science,6,Reproduction,Remember,q5,Which part of a chicken lays an egg?,,,,,,
Science,6,Reproduction,Apply,q1,Which part of a flower produces seeds?,,,,,,
Science,6,Reproduction,Apply,q2,How many stages are there in the human life cycle?,,,,,,
Science,6,Reproduction,Apply,q3,What is the function of pollen grains in plant reproduction?,,,,,,
Science,6,Reproduction,Apply,q4,Which part of an insect undergoes metamorphosis during its life cycle?,,,,,,
Science,6,Reproduction,Apply,q5,Which organ in the female reproductive system releases an egg?,,,,,,
Science,6,Forces,Remember,q1,Which force acts on an object when it is pushed or pulled?,,,,,,
Science,6,Forces,Remember,q2,What force moves a car forward when the driver presses the accelerator?,,,,,,
Science,6,Forces,Remember,q3,Which force keeps a balloon in the air?,,,,,,
Science,6,Forces,Remember,q4,What force pulls books towards the floor when they are dropped?,,,,,,
Science,6,Forces,Remember,q5,Which force opposes motion and causes wear and tear on surfaces?,,,,,,
Science,6,Forces,Apply,q1,Which force acts on an object when you push it horizontally?,,,,,,
Science,6,Forces,Apply,q2,What force pulls a ball towards the ground when dropped?,,,,,,
Science,6,Forces,Apply,q3,Which force moves a car forward when the driver presses the accelerator?,,,,,,
Science,6,Forces,Apply,q4,Which force opposes motion and makes it harder to move an object?,,,,,,
Science,6,Forces,Apply,q5,Which force keeps a ball rolling after being pushed?,,,,,,
